Kingston upon Thames,Drugs,767
Kingston upon Thames,Fraud & Forgery,16
Kingston upon Thames,Other Notifiable Offences,198
Kingston upon Thames,Robbery,119
Kingston upon Thames,Sexual Offences,262
Kingston upon Thames,Theft & Handling,3840
Kingston upon Thames,Violence Against The Person,3214
Lambeth,Burglary,3099
Lambeth,Criminal Damage,2778
Lambeth,Drugs,2845
Lambeth,Fraud & Forgery,46
Lambeth,Other Notifiable Offences,671
Lambeth,Robbery,1227
Lambeth,Sexual Offences,863
Lambeth,Theft & Handling,13353
Lambeth,Violence Against The Person,10627
Lewisham,Burglary,2079
Lewisham,Criminal Damage,2368
Lewisham,Drugs,1686
Lewisham,Fraud & Forgery,43
Lewisham,Other Notifiable Offences,526
Lewisham,Robbery,875
Lewisham,Sexual Offences,699
Lewisham,Theft & Handling,7754
Lewisham,Violence Against The Person,8928
London Heathrow and London City Airports,Burglary,14
London Heathrow and London City Airports,Criminal Damage,68
London Heathrow and London City Airports,Drugs,80
London Heathrow and London City Airports,Fraud & Forgery,21
London Heathrow and London City Airports,Other Notifiable Offences,1229
London Heathrow and London City Airports,Robbery,3
London Heathrow and London City Airports,Sexual Offences,25
London Heathrow and London City Airports,Theft & Handling,1498
London Heathrow and London City Airports,Violence Against The Person,322
Merton,Burglary,1427
Merton,Criminal Damage,1421
Merton,Drugs,475
Merton,Fraud & Forgery,21
Merton,Other Notifiable Offences,254
Merton,Robbery,285
Merton,Sexual Offences,311
Merton,Theft & Handling,4945
Merton,Violence Against The Person,4099
Newham,Burglary,2104
Newham,Criminal Damage,2502
Newham,Drugs,1742
Newham,Fraud & Forgery,47
Newham,Other Notifiable Offences,703
Newham,Robbery,1499
Newham,Sexual Offences,753
Newham,Theft & Handling,12100
Newham,Violence Against The Person,9773
Redbridge,Burglary,1989
Redbridge,Criminal Damage,1664
Redbridge,Drugs,1032
Redbridge,Fraud & Forgery,34
Redbridge,Other Notifiable Offences,426
Redbridge,Robbery,600
Redbridge,Sexual Offences,547
Redbridge,Theft & Handling,7453
Redbridge,Violence Against The Person,6460
Richmond upon Thames,Burglary,1356
Richmond upon Thames,Criminal Damage,1152
Richmond upon Thames,Drugs,339
Richmond upon Thames,Fraud & Forgery,18
Richmond upon Thames,Other Notifiable Offences,219
Richmond upon Thames,Robbery,104
Richmond upon Thames,Sexual Offences,288
Richmond upon Thames,Theft & Handling,4790
Richmond upon Thames,Violence Against The Person,3192
Southwark,Burglary,2936
Southwark,Criminal Damage,2632
Southwark,Drugs,1871
Southwark,Fraud & Forgery,42
Southwark,Other Notifiable Offences,534
Southwark,Robbery,1329
Southwark,Sexual Offences,740
Southwark,Theft & Handling,12954
Southwark,Violence Against The Person,9514
Sutton,Burglary,1230
Sutton,Criminal Damage,1317
Sutton,Drugs,483
Sutton,Fraud & Forgery,9
Sutton,Other Notifiable Offences,263
Sutton,Robbery,166
Sutton,Sexual Offences,312
Sutton,Theft & Handling,3510
Sutton,Violence Against The Person,3756
Tower Hamlets,Burglary,2839
Tower Hamlets,Criminal Damage,2389
Tower Hamlets,Drugs,1697
Tower Hamlets,Fraud & Forgery,34
Tower Hamlets,Other Notifiable Offences,706
Tower Hamlets,Robbery,1260
Tower Hamlets,Sexual Offences,737
Tower Hamlets,Theft & Handling,11252
Tower Hamlets,Violence Against The Person,9790
Waltham Forest,Burglary,1871
Waltham Forest,Criminal Damage,1993
Waltham Forest,Drugs,1056
Waltham Forest,Fraud & Forgery,52
Waltham Forest,Other Notifiable Offences,465
Waltham Forest,Robbery,606
Waltham Forest,Sexual Offences,506
Waltham Forest,Theft & Handling,7470
Waltham Forest,Violence Against The Person,7467
Wandsworth,Burglary,2361
Wandsworth,Criminal Damage,1846
Wandsworth,Drugs,920
Wandsworth,Fraud & Forgery,37
Wandsworth,Other Notifiable Offences,444
Wandsworth,Robbery,615
Wandsworth,Sexual Offences,657
Wandsworth,Theft & Handling,10910
Wandsworth,Violence Against The Person,6930
Westminster,Burglary,3227
Westminster,Criminal Damage,2197
Westminster,Drugs,2170
Westminster,Fraud & Forgery,89
Westminster,Other Notifiable Offences,789
Westminster,Robbery,1855
Westminster,Sexual Offences,932
Westminster,Theft & Handling,27809
Westminster,Violence Against The Person,11168
